,Unnamed: 0,STATION,LATITUDE,LONGITUDE,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STCT_FIPS
141,5975,COOP:046726,39.88333,-122.53333,POINT (-122.53333 39.88333),4275,06,103,000300,3,061030003003,Block Group 3,G5030,S,1187540575,9004997,+39.8846521,-122.5865126,06103
142,6014,COOP:046730,35.63333,-120.68333,POINT (-120.68333 35.63333),14445,06,079,010206,2,060790102062,Block Group 2,G5030,S,2558529,0,+35.6386551,-120.6729806,06079
143,6046,COOP:046826,38.26667,-122.65,POINT (-122.65 38.26667),23803,06,097,150609,1,060971506091,Block Group 1,G5030,S,633359,0,+38.2645239,-122.6484059,06097
144,6098,COOP:046893,38.18333,-120.0,POINT (-120 38.18333),11820,06,109,003103,2,061090031032,Block Group 2,G5030,S,1433822530,21088293,+38.2247004,-119.7599789,06109
146,6192,COOP:046942,34.4,-118.7,POINT (-118.7 34.4),4624,06,111,009700,1,061110097001,Block Group 1,G5030,S,143441518,4090594,+34.4143645,-118.7688353,06111
147,6224,COOP:046964,38.73333,-120.85,POINT (-120.85 38.73333),18075,06,017,031000,4,060170310004,Block Group 4,G5030,S,4770121,0,+38.7300332,-120.8416920,06017
148,6271,COOP:046998,39.75,-120.7,POINT (-120.7 39.75),19486,06,063,000201,1,060630002011,Block Group 1,G5030,S,209921907,177155,+39.7930847,-120.6700036,06063
149,6334,COOP:047085,39.8,-120.46667,POINT (-120.46667 39.8),13703,06,063,000300,2,060630003002,Block Group 2,G5030,S,38704169,0,+39.7846677,-120.4744595,06063
150,6366,COOP:047109,39.36667,-123.13333,POINT (-123.13333 39.36667),13523,06,045,010802,1,060450108021,Block Group 1,G5030,S,269728069,333802,+39.3716712,-123.0874424,06045
151,6430,COOP:047123,33.88333,-117.63333,POINT (-117.63333 33.88333),5736,06,065,041904,2,060650419042,Block Group 2,G5030,S,2035554,0,+33.8827800,-117.6316314,06065
152,6461,COOP:047293,40.16667,-122.21667,POINT (-122.21667 40.16667),20463,06,103,000100,4,061030001004,Block Group 4,G5030,S,45072669,1224481,+40.1938078,-122.1713650,06103
153,6476,COOP:047304,40.5,-122.3,POINT (-122.3 40.5),2422,06,089,011502,2,060890115022,Block Group 2,G5030,S,14305662,607984,+40.4953811,-122.2825669,06089
154,6535,COOP:047473,33.96667,-117.35,POINT (-117.35 33.96667),10738,06,065,030501,3,060650305013,Block Group 3,G5030,S,1042308,0,+33.9661777,-117.3534021,06065
155,6578,COOP:047489,38.9,-120.38333,POINT (-120.38333 38.9),8359,06,017,030603,4,060170306034,Block Group 4,G5030,S,966960446,25841410,+38.8837577,-120.3535463,06017
156,6652,COOP:047581,40.8,-121.93333,POINT (-121.93333 40.8),2420,06,089,012606,2,060890126062,Block Group 2,G5030,S,705834433,3077182,+40.8561503,-121.8655953,06089
157,6726,COOP:047600,34.2,-117.08333,POINT (-117.08333 34.2),5799,06,071,011102,2,060710111022,Block Group 2,G5030,S,71797128,443071,+34.1748445,-117.0603462,06071
158,6766,COOP:047614,40.36667,-123.43333,POINT (-123.43333 40.36667),1274,06,105,000500,4,061050005004,Block Group 4,G5030,S,2151747756,4477867,+40.0875652,-123.1534981,06105
227,9585,COOP:049953,40.16667,-123.46667,POINT (-123.46667 40.16667),1274,06,105,000500,4,061050005004,Block Group 4,G5030,S,2151747756,4477867,+40.0875652,-123.1534981,06105
242,5676,COOP:045242,40.31083,-123.37333,POINT (-123.37333 40.31083),1274,06,105,000500,4,061050005004,Block Group 4,G5030,S,2151747756,4477867,+40.0875652,-123.1534981,06105
159,6834,COOP:047630,38.51667,-121.5,POINT (-121.5 38.51667),16516,06,067,003400,1,060670034001,Block Group 1,G5030,S,743316,0,+38.5145356,-121.5034502,06067
160,6896,COOP:047633,38.58333,-121.5,POINT (-121.5 38.58333),20122,06,067,005301,1,060670053011,Block Group 1,G5030,S,3618503,279016,+38.5951141,-121.4945868,06067
161,6958,COOP:047646,38.5,-122.53333,POINT (-122.53333 38.5),13253,06,055,201500,1,060552015001,Block Group 1,G5030,S,97678486,139379,+38.4872579,-122.5079592,06055
163,7023,COOP:047740,32.73333,-117.16667,POINT (-117.16667 32.73333),16886,06,073,006000,3,060730060003,Block Group 3,G5030,S,612678,0,+32.7356854,-117.1663872,06073
164,7072,COOP:047762,34.31667,-118.5,POINT (-118.5 34.31667),22667,06,037,106603,1,060371066031,Block Group 1,G5030,S,4340369,0,+34.3188837,-118.5091974,06037
165,7115,COOP:047767,37.76667,-122.5,POINT (-122.5 37.76667),881,06,075,980300,1,060759803001,Block Group 1,G5030,S,4337505,409466,+37.7684025,-122.4920873,06075
166,7164,COOP:047769,37.61667,-122.38333,POINT (-122.38333 37.61667),20101,06,081,984300,1,060819843001,Block Group 1,G5030,S,7955702,3573121,+37.6203823,-122.3769119,06081
167,7226,COOP:047772,37.76667,-122.43333,POINT (-122.43333 37.76667),9321,06,075,016900,3,060750169003,Block Group 3,G5030,S,72410,0,+37.7675891,-122.4323049,06075
169,7304,COOP:047813,33.78333,-116.96667,POINT (-116.96667 33.78333),19030,06,065,043602,1,060650436021,Block Group 1,G5030,S,727721,0,+33.7833052,-116.9669820,06065
170,7346,COOP:047817,37.08333,-119.71667,POINT (-119.71667 37.08333),10636,06,039,000102,3,060390001023,Block Group 3,G5030,S,317855829,8071447,+37.0953312,-119.6519002,06039
171,7382,COOP:047821,37.36667,-121.9,POINT (-121.9 37.36667),20790,06,085,504318,1,060855043181,Block Group 1,G5030,S,3395338,0,+37.3731380,-121.8943081,06085
172,7425,COOP:047837,33.6,-117.51667,POINT (-117.51667 33.6),17774,06,059,032041,1,060590320411,Block Group 1,G5030,S,169856568,13484,+33.6518163,-117.5071044,06059
173,7465,COOP:047846,37.05,-121.06667,POINT (-121.06667 37.05),16857,06,047,002100,1,060470021001,Block Group 1,G5030,S,1142935090,65632696,+36.9552917,-121.0198277,06047
174,7499,COOP:047851,35.3,-120.66667,POINT (-120.66667 35.3),14617,06,079,010903,1,060790109031,Block Group 1,G5030,S,377136,0,+35.2979682,-120.6682951,06079
176,7578,COOP:047867,35.75,-120.68333,POINT (-120.68333 35.75),20093,06,079,010016,2,060790100162,Block Group 2,G5030,S,5548009,89806,+35.7482306,-120.6905302,06079
178,7634,COOP:047902,34.41667,-119.68333,POINT (-119.68333 34.41667),2837,06,083,000805,1,060830008051,Block Group 1,G5030,S,1666711,313302,+34.4168501,-119.6773323,06083
179,7659,COOP:047926,34.11667,-117.96667,POINT (-117.96667 34.11667),15893,06,037,404600,1,060374046001,Block Group 1,G5030,S,22853908,2037701,+34.1118550,-117.9636140,06037
180,7700,COOP:047933,35.36667,-120.63333,POINT (-120.63333 35.36667),14465,06,079,012705,2,060790127052,Block Group 2,G5030,S,151188825,59681,+35.3757009,-120.5361106,06079
181,7742,COOP:047946,34.9,-120.45,POINT (-120.45 34.9),16876,06,083,002011,2,060830020112,Block Group 2,G5030,S,15086871,53502,+34.9053343,-120.4616815,06083
182,7794,COOP:047976,34.61667,-120.06667,POINT (-120.06667 34.61667),2923,06,083,001908,1,060830019081,Block Group 1,G5030,S,5002169,361,+34.6172434,-120.0774841,06083
183,7832,COOP:047987,33.78333,-117.71667,POINT (-117.71667 33.78333),16002,06,059,021924,3,060590219243,Block Group 3,G5030,S,75522223,1874512,+33.8110260,-117.6969462,06059
184,7871,COOP:047993,33.71667,-117.53333,POINT (-117.53333 33.71667),24638,06,065,041915,4,060650419154,Block Group 4,G5030,S,38216224,0,+33.7402643,-117.5045492,06065
185,7899,COOP:048025,41.30102,-123.13298,POINT (-123.13298 41.30102),17714,06,093,000800,2,060930008002,Block Group 2,G5030,S,2085776476,6250197,+41.2677895,-123.1034605,06093
186,7978,COOP:048072,38.41667,-122.81667,POINT (-122.81667 38.41667),17223,06,097,153005,2,060971530052,Block Group 2,G5030,S,8436671,0,+38.4224832,-122.8093616,06097
187,8035,COOP:048092,34.16667,-118.46667,POINT (-118.46667 34.16667),26,06,037,128801,1,060371288011,Block Group 1,G5030,S,167951,0,+34.1677739,-118.4674276,06037
188,8075,COOP:048135,40.71667,-122.41667,POINT (-122.41667 40.71667),6727,06,089,011600,1,060890116001,Block Group 1,G5030,S,11943821,2558849,+40.7001446,-122.3975494,06089
189,8140,COOP:048218,39.58333,-120.36667,POINT (-120.36667 39.58333),13945,06,091,010000,5,060910100005,Block Group 5,G5030,S,625256561,18195513,+39.5314838,-120.3191573,06091
190,8196,COOP:048230,33.8,-118.16667,POINT (-118.16667 33.8),15257,06,037,573403,2,060375734032,Block Group 2,G5030,S,682844,0,+33.7952510,-118.1586330,06037
191,8223,COOP:048243,33.75,-117.65,POINT (-117.65 33.75),11597,06,059,032011,1,060590320111,Block Group 1,G5030,S,74023939,0,+33.7677785,-117.6175975,06059
192,8265,COOP:048261,34.28333,-118.81667,POINT (-118.81667 34.28333),17693,06,111,007700,1,061110077001,Block Group 1,G5030,S,12650053,904693,+34.2785560,-118.8154736,06111
194,8356,COOP:048355,38.35,-119.45,POINT (-119.45 38.35),13028,06,051,000102,2,060510001022,Block Group 2,G5030,S,433205154,67209,+38.4252824,-119.4757433,06051
195,8395,COOP:048436,34.05,-117.81667,POINT (-117.81667 34.05),2652,06,037,402403,2,060374024032,Block Group 2,G5030,S,1776572,0,+34.0490291,-117.8153871,06037
196,8411,COOP:048460,36.15,-118.81667,POINT (-118.81667 36.15),22549,06,107,002702,1,061070027021,Block Group 1,G5030,S,314432795,92110,+36.2046695,-118.9369481,06107
197,8444,COOP:048463,36.2,-118.65,POINT (-118.65 36.2),22560,06,107,002701,1,061070027011,Block Group 1,G5030,S,716547322,97803,+36.1582875,-118.6040022,06107
198,8478,COOP:048544,39.9,-121.53333,POINT (-121.53333 39.9),7115,06,007,001704,1,060070017041,Block Group 1,G5030,S,310646567,2726297,+39.9752116,-121.4808518,06007
199,8520,COOP:048558,37.9,-121.25,POINT (-121.25 37.9),20761,06,077,003803,3,060770038033,Block Group 3,G5030,S,22708189,22182,+37.8927243,-121.2398552,06077
200,8566,COOP:048587,39.58333,-122.53333,POINT (-122.53333 39.58333),18564,06,021,010300,1,060210103001,Block Group 1,G5030,S,1148374390,7473060,+39.5067255,-122.5189493,06021
201,8615,COOP:048680,36.9,-121.83333,POINT (-121.83333 36.9),18109,06,087,122300,2,060871223002,Block Group 2,G5030,S,5450321,2011317,+36.9164503,-121.8406352,06087
202,8631,COOP:048697,34.68333,-120.56667,POINT (-120.56667 34.68333),2924,06,083,980200,1,060839802001,Block Group 1,G5030,S,243540790,4708287,+34.6464780,-120.5681172,06083
203,8642,COOP:048703,40.41667,-120.66667,POINT (-120.66667 40.41667),5636,06,035,040302,3,060350403023,Block Group 3,G5030,S,118907983,39738,+40.3740229,-120.7085811,06035
204,8677,COOP:048832,35.13333,-118.43333,POINT (-118.43333 35.13333),4217,06,029,006101,3,060290061013,Block Group 3,G5030,S,3400804,186674,+35.1347044,-118.4414728,06029
205,8703,COOP:048844,33.5,-117.15,POINT (-117.15 33.5),22495,06,065,043222,1,060650432221,Block Group 1,G5030,S,1910282,302,+33.4989224,-117.1364034,06065
206,8739,COOP:048873,40.86667,-120.43333,POINT (-120.43333 40.86667),2761,06,035,040100,3,060350401003,Block Group 3,G5030,S,5040503846,59323554,+40.8457377,-120.3222189,06035
207,8758,COOP:048885,38.8,-122.83333,POINT (-122.83333 38.8),19932,06,097,154100,3,060971541003,Block Group 3,G5030,S,283742325,133132,+38.7717040,-122.8572908,06097
208,8775,COOP:048893,33.63333,-116.16667,POINT (-116.16667 33.63333),24923,06,065,045615,2,060650456152,Block Group 2,G5030,S,21255346,0,+33.6318429,-116.1563482,06065
209,8788,COOP:048912,36.41667,-118.83333,POINT (-118.83333 36.41667),22026,06,107,000101,2,061070001012,Block Group 2,G5030,S,112084676,0,+36.4183950,-118.8352809,06107
210,8827,COOP:048917,36.46667,-118.86667,POINT (-118.86667 36.46667),22026,06,107,000101,2,061070001012,Block Group 2,G5030,S,112084676,0,+36.4183950,-118.8352809,06107
211,8861,COOP:048928,38.45,-120.5,POINT (-120.5 38.45),19642,06,005,000102,1,060050001021,Block Group 1,G5030,S,441123092,7827720,+38.5496993,-120.2509786,06005
212,8889,COOP:048992,33.65,-117.6,POINT (-117.6 33.65),20525,06,059,032050,1,060590320501,Block Group 1,G5030,S,1351032,0,+33.6468675,-117.6016471,06059
213,8902,COOP:049043,39.33333,-120.18333,POINT (-120.18333 39.33333),2906,06,057,001211,2,060570012112,Block Group 2,G5030,S,8589328,0,+39.3505618,-120.1950774,06057
214,8953,COOP:049053,41.96667,-121.46667,POINT (-121.46667 41.96667),18453,06,093,000100,1,060930001001,Block Group 1,G5030,S,860405316,44664518,+41.8199270,-121.6337562,06093
215,8995,COOP:049120,35.88333,-118.65,POINT (-118.65 35.88333),22561,06,107,002701,2,061070027012,Block Group 2,G5030,S,4072647006,7845623,+36.1853421,-118.3105064,06107
216,9022,COOP:049273,38.61667,-123.01667,POINT (-123.01667 38.61667),17245,06,097,154000,2,060971540002,Block Group 2,G5030,S,88557344,1288293,+38.5632527,-122.9051340,06097
217,9061,COOP:049325,34.53333,-117.3,POINT (-117.3 34.53333),957,06,071,009800,4,060710098004,Block Group 4,G5030,S,781087,0,+34.5317802,-117.3068528,06071
218,9086,COOP:049390,40.45,-121.86667,POINT (-121.86667 40.45),21683,06,089,012603,1,060890126031,Block Group 1,G5030,S,551404593,2978055,+40.4887848,-121.5952335,06089
219,9151,COOP:049440,38.71667,-123.0,POINT (-123 38.71667),17167,06,097,154000,1,060971540001,Block Group 1,G5030,S,98635517,6410,+38.6523400,-122.9935394,06097
220,9209,COOP:049482,37.53333,-119.65,POINT (-119.65 37.53333),19873,06,043,000400,2,060430004002,Block Group 2,G5030,S,312106613,283009,+37.5926550,-119.6127737,06043
221,9257,COOP:049490,40.73333,-122.95,POINT (-122.95 40.73333),16776,06,105,000102,3,061050001023,Block Group 3,G5030,S,34913081,0,+40.7621650,-122.9638452,06105
222,9333,COOP:049605,39.02778,-121.39111,POINT (-121.39111 39.02778),7223,06,115,040800,2,061150408002,Block Group 2,G5030,S,18003021,110938,+39.0360212,-121.3729194,06115
223,9381,COOP:049666,34.01667,-118.08333,POINT (-118.08333 34.01667),10205,06,037,500500,1,060375005001,Block Group 1,G5030,S,645194,23163,+34.0153870,-118.0846905,06037
224,9418,COOP:049684,39.41667,-123.35,POINT (-123.35 39.41667),13456,06,045,010700,1,060450107001,Block Group 1,G5030,S,2453940,0,+39.4193764,-123.3488496,06045
225,9497,COOP:049851,38.9,-123.23333,POINT (-123.23333 38.9),11609,06,045,011800,1,060450118001,Block Group 1,G5030,S,627264142,970173,+38.9361372,-123.1194447,06045
226,9530,COOP:049855,37.75,-119.58333,POINT (-119.58333 37.75),19876,06,043,000400,1,060430004001,Block Group 1,G5030,S,707080398,4170727,+37.7839881,-119.5740682,06043
228,4418,COOP:044712,38.48333,-122.0,POINT (-122 38.48333),17422,06,095,252903,1,060952529031,Block Group 1,G5030,S,54324566,285517,+38.4786613,-121.9739968,06095
229,6612,COOP:047342,40.9,-123.81667,POINT (-123.81667 40.9),21028,06,023,010300,5,060230103005,Block Group 5,G5030,S,576968885,739602,+40.9307065,-123.8753273,06023
230,121,COOP:040321,35.18333,-120.4,POINT (-120.4 35.18333),20056,06,079,012302,2,060790123022,Block Group 2,G5030,S,127329137,12744,+35.1691640,-120.4324951,06079
232,4947,COOP:046174,38.0,-120.48333,POINT (-120.48333 38),11840,06,109,002101,4,061090021014,Block Group 4,G5030,S,26338416,3502420,+38.0104362,-120.4412463,06109
236,4023,COOP:044074,40.23333,-124.13333,POINT (-124.13333 40.23333),21194,06,023,011200,3,060230112003,Block Group 3,G5030,S,907803893,29652697,+40.3609851,-124.1963951,06023
237,4773,COOP:044883,39.88333,-123.71667,POINT (-123.71667 39.88333),13380,06,045,010200,2,060450102002,Block Group 2,G5030,S,959796538,23976231,+39.8362403,-123.7599535,06045
238,5877,COOP:045802,36.5925,-121.85417,POINT (-121.85417 36.5925),10158,06,053,013300,1,060530133001,Block Group 1,G5030,S,3816966,0,+36.5890893,-121.8500508,06053
239,6607,COOP:046513,41.3,-123.53333,POINT (-123.53333 41.3),1369,06,023,010102,4,060230101024,Block Group 4,G5030,S,720481034,2212122,+41.2924099,-123.6219611,06023
240,614,COOP:040790,36.25,-121.78389,POINT (-121.78389 36.25),19660,06,053,011502,1,060530115021,Block Group 1,G5030,S,651025601,19890256,+36.2803804,-121.6972544,06053
241,1595,COOP:041603,38.564440000000005,-123.1625,POINT (-123.1625 38.56444),1611,06,097,154304,1,060971543041,Block Group 1,G5030,S,730623690,4675258,+38.6883642,-123.2302818,06097
244,9198,COOP:046572,34.21139,-119.13861,POINT (-119.13861 34.21139),17564,06,111,004902,1,061110049021,Block Group 1,G5030,S,9935633,0,+34.2085810,-119.1337003,06111
245,5968,COOP:047292,40.15556,-122.25056,POINT (-122.25056 40.15556),4278,06,103,000702,2,061030007022,Block Group 2,G5030,S,5850919,0,+40.1451977,-122.2506272,06103
247,4190,COOP:044749,34.74111,-118.21167,POINT (-118.21167 34.74111),16237,06,037,900901,1,060379009011,Block Group 1,G5030,S,42668056,356234,+34.7281193,-118.1925085,06037
248,7151,COOP:047669,36.66361,-121.60806,POINT (-121.60806 36.66361),23656,06,053,980000,1,060539800001,Block Group 1,G5030,S,3904134,0,+36.6632958,-121.6049632,06053
249,3706,COOP:046118,34.7675,-114.61889,POINT (-114.61889 34.7675),5802,06,071,025100,1,060710251001,Block Group 1,G5030,S,5365122310,1536891,+34.5226915,-114.9283952,06071
250,4036,COOP:046742,35.66972,-120.62833,POINT (-120.62833 35.66972),14425,06,079,010207,1,060790102071,Block Group 1,G5030,S,27948427,0,+35.6642776,-120.6462179,06079
251,8860,COOP:048762,38.89833,-119.99472,POINT (-119.99472 38.89833),18237,06,017,030402,2,060170304022,Block Group 2,G5030,S,3231099,0,+38.9015629,-119.9966134,06017
252,7778,COOP:047905,34.4258,-119.8425,POINT (-119.8425 34.4258),12358,06,083,980000,1,060839800001,Block Group 1,G5030,S,4463565,234871,+34.4270293,-119.8404594,06083
253,8173,COOP:048200,35.97167,-116.27083,POINT (-116.27083 35.97167),16468,06,027,000800,1,060270008001,Block Group 1,G5030,S,12206669479,10165963,+36.2810295,-116.8462408,06027
254,2795,COOP:043861,37.6542,-122.115,POINT (-122.115 37.6542),1430,06,001,437101,4,060014371014,Block Group 4,G5030,S,15633262,3014181,+37.6444954,-122.1405184,06001
255,4039,COOP:045738,37.6241,-120.9505,POINT (-120.9505 37.6241),11485,06,099,002100,1,060990021001,Block Group 1,G5030,S,3383749,194174,+37.6276213,-120.9588553,06099
256,5630,COOP:047735,34.7436,-118.7242,POINT (-118.7242 34.7436),17150,06,037,901209,1,060379012091,Block Group 1,G5030,S,589476557,7874863,+34.7464476,-118.5702726,06037
257,1340,COOP:041964,37.9917,-122.055,POINT (-122.055 37.9917),4934,06,013,327001,2,060133270012,Block Group 2,G5030,S,6220671,0,+37.9813392,-122.0561581,06013
258,3673,COOP:044995,37.6927,-121.8144,POINT (-121.8144 37.6927),22753,06,001,451300,3,060014513003,Block Group 3,G5030,S,9199660,744296,+37.6834886,-121.8177326,06001
259,3968,COOP:045388,39.10194,-121.56778,POINT (-121.56778 39.10194),5868,06,115,040400,3,061150404003,Block Group 3,G5030,S,16165140,362202,+39.0966013,-121.5822429,06115
260,4455,COOP:046066,38.2102,-122.2847,POINT (-122.2847 38.2102),401,06,055,201005,1,060552010051,Block Group 1,G5030,S,28900009,9591116,+38.2049238,-122.2877073,06055
261,6378,COOP:047971,38.5038,-122.8102,POINT (-122.8102 38.5038),17113,06,097,152702,4,060971527024,Block Group 4,G5030,S,13909745,0,+38.5047821,-122.8049254,06097
262,7310,COOP:049203,38.3775,-121.9575,POINT (-121.9575 38.3775),1658,06,095,252904,4,060952529044,Block Group 4,G5030,S,10222433,55447,+38.3921741,-121.9520981,06095
